date,user,reply,parent_thread,text
30/11/2020 21:18:48,maggiedalena123,https://twitter.com/maggiedalena123/status/1333505780557836288,https://twitter.com/tladeras/status/1333480918158254082,"@tladeras @allison_horst anti_join()"
30/11/2020 21:17:37,JJVenky,https://twitter.com/JJVenky/status/1333505485954310147,https://twitter.com/tladeras/status/1333480918158254082,"@tladeras mutate(across()) as in; ; data.frame(a=c("q","w","e"), b=c(1,2,-1)) %&gt;% mutate(across(c(b), na_if, -1)); ; or; ; data.frame(a=c("q","w","e"), b=c(1,2,-1)) %&gt;% mutate(across(c(b), ~replace(., .&lt;0,NA))"
30/11/2020 21:28:10,tladeras,https://twitter.com/tladeras/status/1333508141481267200,https://twitter.com/tladeras/status/1333480918158254082,"@JJVenky Yup, mutate(across()) is great. I do cover {tidyselect} in my {tidyowl} tutorials: https://t.co/pRvC9YJZQG"
30/11/2020 21:15:55,aecoppock,https://twitter.com/aecoppock/status/1333505057233440770,https://twitter.com/tladeras/status/1333480918158254082,"@tladeras @allison_horst dplyr::coalesce()"
30/11/2020 21:15:42,_echong,https://twitter.com/_echong/status/1333505001839325188,https://twitter.com/tladeras/status/1333480918158254082,"@tladeras dplyr::pull(), to emphasize the difference between a vector and a one-column dataframe."
30/11/2020 21:20:04,tladeras,https://twitter.com/tladeras/status/1333506100562329601,https://twitter.com/tladeras/status/1333480918158254082,"@_echong This is really one of the hardest concepts to teach, but agreed, pull() makes it much more clear."
30/11/2020 21:11:01,apreshill,https://twitter.com/apreshill/status/1333503821499293696,https://twitter.com/tladeras/status/1333480918158254082,"@tladeras I think all of the scales package is helpful; ; https://t.co/s5WMZcWwYR; ; I especially like breaks_pretty and the label functions: https://t.co/PtrVT2R7dM"
30/11/2020 21:15:05,tladeras,https://twitter.com/tladeras/status/1333504845500715009,https://twitter.com/tladeras/status/1333480918158254082,"@apreshill For sure. I usually don't get to scales when I teach {ggplot2}, but I think it might be worth highlighting the useful cases like breaks_pretty()."
30/11/2020 21:20:12,apreshill,https://twitter.com/apreshill/status/1333506135375159296,https://twitter.com/tladeras/status/1333480918158254082,"@tladeras Oh and one more! Sometimes dplyr::group_indices is helpful. The actual reference page is less helpful, but this discussion on the implementation is quite good: https://t.co/sD3iauuN9B"
30/11/2020 20:53:23,gvwilson,https://twitter.com/gvwilson/status/1333499385662070785,https://twitter.com/tladeras/status/1333480918158254082,"@tladeras I am frequently surprised by how few people know about lag()"
02/12/2020 05:54:55,EvenKeely,https://twitter.com/EvenKeely/status/1333998054534504449,https://twitter.com/tladeras/status/1333480918158254082,"@gvwilson @tladeras lead() and lag() are awesome for working with transect point data."
30/11/2020 20:57:51,tladeras,https://twitter.com/tladeras/status/1333500509253115904,https://twitter.com/tladeras/status/1333480918158254082,"@gvwilson Agreed. The documentation/examples are a little terse for lead()/lag(), which may be why few people use them."
30/11/2020 21:07:38,apreshill,https://twitter.com/apreshill/status/1333502970537922563,https://twitter.com/tladeras/status/1333480918158254082,"@tladeras @gvwilson I think in general the window functions could use some love https://t.co/8z9DdvFQgt"
30/11/2020 21:10:02,tladeras,https://twitter.com/tladeras/status/1333503577789132800,https://twitter.com/tladeras/status/1333480918158254082,"@apreshill @gvwilson Agreed! I think the window functions are really useful."
30/11/2020 20:49:45,kaiz_p,https://twitter.com/kaiz_p/status/1333498470842265600,https://twitter.com/tladeras/status/1333480918158254082,"@tladeras left_join() and other joins, separate(), recode(), pivot_longer(), pivot_wider(), filter()"
30/11/2020 20:59:28,tladeras,https://twitter.com/tladeras/status/1333500916935245824,https://twitter.com/tladeras/status/1333480918158254082,"@kaiz_p All very useful! I sometimes do get confused over whether to teach recodeI() vs case_when() - they're both useful, but the use cases are different."
30/11/2020 21:08:24,kaiz_p,https://twitter.com/kaiz_p/status/1333503163417063424,https://twitter.com/tladeras/status/1333480918158254082,"@tladeras Good point! ; I previously used case_when() for all my recoding needs, but then I discovered recode() and it’s so much easier. Less code = fewer mistakes!"
30/11/2020 21:09:25,kaiz_p,https://twitter.com/kaiz_p/status/1333503422117474306,https://twitter.com/tladeras/status/1333480918158254082,"@tladeras I now use case_when() mostly when I’m looking for a string -- grepl() or when working across multiple columns -- case_when(A == “a” &amp; B == “b” ~ “ab”)"
02/12/2020 00:38:28,EvenKeely,https://twitter.com/EvenKeely/status/1333918419440308224,https://twitter.com/tladeras/status/1333480918158254082,"@kaiz_p @tladeras (TRUE ~ "You missed one")"
02/12/2020 00:41:30,tladeras,https://twitter.com/tladeras/status/1333919182245642241,https://twitter.com/tladeras/status/1333480918158254082,"@EvenKeely @kaiz_p I feel seen."
30/11/2020 21:11:16,tladeras,https://twitter.com/tladeras/status/1333503885512609793,https://twitter.com/tladeras/status/1333480918158254082,"@kaiz_p Very true. It can be hard to see which "cases" you missed when you write a case_when() statement, much like writing nested if() statements."
30/11/2020 20:43:48,Corey_Yanofsky,https://twitter.com/Corey_Yanofsky/status/1333496974914498567,https://twitter.com/tladeras/status/1333480918158254082,"@tladeras dplyr::arrange &amp; helper dplyr::desc; dplyr::coalesce; tidyr::replace_na; ; https://t.co/h9ew04PYcU"
30/11/2020 20:46:12,tladeras,https://twitter.com/tladeras/status/1333497578034397184,https://twitter.com/tladeras/status/1333480918158254082,"@Corey_Yanofsky Ha! ; ; And coalesce()/replace_na() are great. Adding them to the list."
30/11/2020 20:32:01,Recon1974,https://twitter.com/Recon1974/status/1333494008987987973,https://twitter.com/tladeras/status/1333480918158254082,"@tladeras @rstats4ds do you teach tidyverse directly or base r first?"
30/11/2020 20:34:58,tladeras,https://twitter.com/tladeras/status/1333494752860278784,https://twitter.com/tladeras/status/1333480918158254082,"@Recon1974 @rstats4ds I teach just enough base R for them to understand vectors, functions, and data.frames. ; ; You can see the previous class here: https://t.co/4WweuqMSl8; ; The rest is mostly tidyverse, except for the cases when they will encounter base-R a lot."
30/11/2020 20:40:42,tladeras,https://twitter.com/tladeras/status/1333496193091997696,https://twitter.com/tladeras/status/1333480918158254082,"@Recon1974 @rstats4ds I know this is probably controversial, but my goal is to get them up and working usefully as quickly as possible, rather than teach a standard programming course, which you have to learn a lot of things before you do something useful."
